dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol
/gpfs/scratch/vkb5066/ortho/selfCon/sym665/x0000,x0000,-58.86731139,1,226,6.703489934,6.988937176,8.213841204,90.00003086,90.00001435,89.99910543,384.8206782
/gpfs/scratch/vkb5066/ortho/selfCon/sym665/x0125,x0125,-59.60970226,1,226,6.643215729,6.961168468,8.159510353,89.99996511,89.99993811,89.75344213,377.3293385
/gpfs/scratch/vkb5066/ortho/selfCon/sym665/x0250,x0250,-60.33572485,1,226,6.599750074,6.921460977,8.099037746,89.85795682,89.89019289,89.77037527,369.9585519
/gpfs/scratch/vkb5066/ortho/selfCon/sym665/x0375,x0375,-61.06502505,1,226,6.557392748,6.881931025,8.040172118,89.58066839,89.95838713,89.75782121,362.8199967
/gpfs/scratch/vkb5066/ortho/selfCon/sym665/x0500,x0500,-61.82244946,1,226,6.524234602,6.803173746,7.998181904,89.65262643,89.87502384,89.67651818,354.9902552
/gpfs/scratch/vkb5066/ortho/selfCon/sym665/x0625,x0625,-62.59426208,1,226,6.467940142,6.778805517,7.938710067,89.61938945,89.92540908,89.95144073,348.0639086
/gpfs/scratch/vkb5066/ortho/selfCon/sym665/x0750,x0750,-63.35435072,1,226,6.427925744,6.736419804,7.879267099,89.78355338,89.9225573,89.96200877,341.1789474
/gpfs/scratch/vkb5066/ortho/selfCon/sym665/x0875,x0875,-64.12664864,1,226,6.38806805,6.69427512,7.821748814,89.99995077,89.99955757,89.95720598,334.4851445
/gpfs/scratch/vkb5066/cu2cdgex4/selfCon/sym/x1000,x1000,-64.91409092,1,226,6.36008333,6.625338597,7.784977339,89.99962173,89.99933089,89.9994834,328.0410829
