dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/encut/300,300,-61.82155524,32,226,6.77965797081837535318,6.78025658348975967827,8.03941833952299854296,89.90016691922513689800,89.90979143875873305046,72.58681261519314610506,352.61753088656614172433
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/encut/350,350,-61.85382313,29,226,6.79130639453858722247,6.79114494027258574372,8.05152305371859117632,89.87623863244723329205,89.90035214644962411498,72.57322594875260120575,354.29664147614907544378
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/encut/400,400,-61.84164087,30,226,6.78615903947584527908,6.78613035511857158026,8.04805945816321233776,89.88886926390632477681,89.89297399405875220770,72.59085258870245489284,353.64871140555781149642
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/encut/444,444,-61.83858812,4,226,6.78955258293466839428,6.78952338586735489822,8.05182051821208704143,89.89996053337440590796,89.89896204502623285247,72.59129433466973052670,354.16891070945650775720
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/encut/500,500,-61.84431276,20,226,6.79499201017863452492,6.79450337120536565033,8.05630828789788851647,89.89596699712356525154,89.89324364513629865953,72.57764078113894662486,354.88372731163573463993
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/encut/550,550,-61.84689928,28,226,6.79627589162364911222,6.79579908818422848343,8.05775132393353611774,89.89598813220539472992,89.89343641648074798054,72.57707215384460328196,355.08095680021287783346
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/encut/600,600,-61.84693937,30,226,6.79576543107648545061,6.79594936212878204901,8.05720790822790851821,89.89369686851503374106,89.89365312329497224488,72.57169996339054075566,355.02772647244760750061
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/encut/650,650,-61.84633702,27,226,6.79570823098090421821,6.79604381206928899427,8.05692918716093036026,89.89813457581659680206,89.89615301974328721150,72.56943551346774837684,355.01304620533689503066
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/encut/700,700,-61.84646726,22,226,6.79571032652039294948,6.79569112151210017030,8.05790128271101020894,89.89266503745067250290,89.89459350936292087847,72.57960295089457111118,355.05727711776180730186
