dir,workDir,nrg,nConv,irredKpts,aV,bV,cV,alpha,beta,gamma,vol,bg
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/101010,101010,-58.94054676,1,504,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.2919999999999998
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/111111,111111,-58.94055437,1,666,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.2959999999999994
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/121212,121212,-58.94055060,1,868,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.27199999999999935
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/131313,131313,-58.94055193,1,1099,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.27199999999999935
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/141414,141414,-58.94054992,1,1376,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.2599999999999998
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/151515,151515,-58.94054899,1,1688,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.2679999999999998
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/161616,161616,-58.94054769,1,2052,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.26400000000000023
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/171717,171717,-58.94054702,1,2457,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.2839999999999998
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/181818,181818,-58.94054716,1,2920,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.26400000000000023
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/191919,191919,-58.94054718,1,3430,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.2759999999999998
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/202020,202020,-58.94054615,1,4004,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.2599999999999998
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/555,555,-58.94047586,1,63,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.4319999999999995
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/666,666,-58.94009442,1,112,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.33999999999999986
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/777,777,-58.94056835,1,172,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.3799999999999999
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/888,888,-58.94050452,1,260,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.3119999999999994
/gpfs/scratch/vkb5066/cu2cdgex4/convTests/bandgapKPTS/999,999,-58.94056009,1,365,5.84669681063152964290,5.84618713073481451718,11.25362796955514409675,89.99977082347089666321,89.99983980552380181347,90.00006366674387244478,384.65894827727228147393,0.33999999999999986
